2024-11-11 14:34:32,960 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 14:34:32,965 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:34:32,989 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:34:47,015 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 14:34:47,022 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:34:47,027 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:34:47,037 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:01,075 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:01,099 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 14:35:01,101 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:01,104 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:01,107 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:15,146 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:15,176 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:15,178 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:15,181 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:15,181 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:19,239 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 14:35:29,225 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:29,254 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:29,255 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:29,255 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:29,259 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:29,262 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:35:33,359 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
