2024-11-10 00:05:43,923 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:05:43,923 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:05:43,924 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:05:43,924 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:05:43,924 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:05:43,924 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:05:43,926 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:05:43,926 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:05:43,926 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:05:44,065 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:06:15,199 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:06:15,210 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:06:15,210 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:06:15,478 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:06:15,478 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:06:15,479 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:06:15,479 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:06:15,480 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:06:15,482 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:06:15,482 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:06:15,482 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:06:15,482 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:06:15,483 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:06:15,483 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 00:06:15,483 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 00:06:15,483 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 00:06:15,483 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 00:06:15,483 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 00:06:15,483 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 00:06:15,483 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 00:06:15,483 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:06:15,633 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:06:15,926 INFO  DataLinksLogger FreedomServer connect information,ReceiveAsync Start,ID:0 , IPAdderss:127.0.0.1:53963  
2024-11-10 00:06:16,567 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId 'bdd4dd00-612e-4c9d-8c10-e05c6b5c1910',HubName 'Alarm'  
2024-11-10 00:06:20,766 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId '1a80584d-5c84-4395-b249-15010bc723c5',HubName 'Signals'  
2024-11-10 00:12:36,224 INFO  DataLinksLogger SignalServer: Client have Disconnected ,connectId 'bdd4dd00-612e-4c9d-8c10-e05c6b5c1910',HubName 'Alarm'  
2024-11-10 00:12:36,224 INFO  DataLinksLogger SignalServer: Client have Disconnected ,connectId '1a80584d-5c84-4395-b249-15010bc723c5',HubName 'Signals'  
2024-11-10 00:26:42,915 INFO  DataLinksLogger FreedomServer Disconnect information,ID:0 , IPAdderss:127.0.0.1:53963  
2024-11-10 00:26:46,060 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 00:26:46,072 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 00:26:46,072 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 00:26:46,084 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 00:26:46,085 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 00:26:46,085 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 00:26:46,085 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 00:26:46,087 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 00:26:46,088 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 00:26:46,088 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 00:26:46,088 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 00:26:46,088 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 00:26:46,089 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 00:26:46,089 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
